UValue,VOpt,CID,EOpt
8,76.00553069,ITEOO-157,-42.6626956
0,64.32041189,ITEOO-158,-53.45342946
2,128.3586208,ITEOO-159,-101.0738087
8,285.0286292,ITEOO-160,-170.644428
7,68.02445254,ITEOO-161,-43.98608267
1,267.2655595,ITEOO-162,-208.2003759
0,265.1572006,ITEOO-163,-214.2044981
7,282.4917383,ITEOO-164,-175.5606432
9,135.9396508,ITEOO-165,-82.99423011
1,71.22529499,ITEOO-166,-52.13171584
9,69.04884592,ITEOO-167,-41.60634157
5,131.6272451,ITEOO-168,-92.86571088
0,70.58184618,ITEOO-169,-53.63478957
4,130.5243768,ITEOO-170,-95.52092659
6,279.9739185,ITEOO-171,-180.6225352
2,71.90525037,ITEOO-172,-50.66661176
4,73.26449313,ITEOO-173,-47.84968471
2,269.7912714,ITEOO-174,-202.3686572
5,277.4625362,ITEOO-175,-185.8304045
6,67.50241451,ITEOO-176,-45.22850277
7,133.8158154,ITEOO-177,-87.78402298
9,287.5943963,ITEOO-178,-165.869472
4,274.8029126,ITEOO-179,-191.1885269
8,68.54899992,ITEOO-180,-42.77904184
8,134.9028584,ITEOO-181,-85.35374231
3,129.4382088,ITEOO-182,-98.25611553
2,65.36866061,ITEOO-183,-50.56242285
1,127.3455618,ITEOO-184,-103.978558
5,66.95387536,ITEOO-185,-46.50662828
7,279.1052474,ITEOO-186,-179.2680596
4,129.6098153,ITEOO-187,-96.79862773
3,270.5785447,ITEOO-188,-198.8952681
6,131.4485003,ITEOO-189,-91.93411586
9,75.57935232,ITEOO-190,-42.5738577
8,133.3057087,ITEOO-191,-87.3361551
9,134.2218011,ITEOO-192,-85.13417183
2,71.52676414,ITEOO-193,-51.11731905
7,67.29238981,ITEOO-194,-44.88941142
3,128.6798079,ITEOO-195,-99.3360729
1,70.94201914,ITEOO-196,-52.46888813
8,75.00231099,ITEOO-197,-43.69691306
7,74.41010013,ITEOO-198,-44.85207751
3,72.0997728,ITEOO-199,-49.79877008
1,266.3654112,ITEOO-200,-209.5244899
6,277.0875664,ITEOO-201,-183.9772675
5,274.9071078,ITEOO-202,-188.8162686
1,126.9481859,ITEOO-203,-104.6296376
9,68.19910744,ITEOO-204,-42.67010222
6,66.85950413,ITEOO-205,-46.04634947
7,132.3539521,ITEOO-206,-89.60232162
3,65.51129306,ITEOO-207,-49.7102335
5,73.25610814,ITEOO-208,-47.26008146
4,65.94778425,ITEOO-209,-48.45629752
9,283.4754121,ITEOO-210,-170.2359223
0,70.40542548,ITEOO-211,-53.85345325
4,72.58082495,ITEOO-212,-48.51313583
1,64.62442088,ITEOO-213,-52.31584071
2,127.7857678,ITEOO-214,-101.945106
8,281.3428309,ITEOO-215,-174.6879798
2,268.4753653,ITEOO-216,-204.1387665
0,64.1813639,ITEOO-217,-53.66797591
0,126.1947096,ITEOO-218,-107.3925612
5,130.4839324,ITEOO-219,-94.33231548
8,67.75485083,ITEOO-220,-43.76417909
0,264.5697488,ITEOO-221,-215.0593487
5,66.39044907,ITEOO-222,-47.23509942
6,73.82849019,ITEOO-223,-46.03968077
2,65.06723146,ITEOO-224,-50.99654566
4,272.629439,ITEOO-225,-193.7883385
1,70.87596666,ITEOO-226,-52.48946011
7,132.2637264,ITEOO-227,-89.63221707
0,70.32705657,ITEOO-228,-53.87421629
2,127.7012608,ITEOO-229,-101.9759647
5,66.38725311,ITEOO-230,-47.25076403
6,276.8981209,ITEOO-231,-184.0537822
6,66.8362686,ITEOO-232,-46.06163991
9,75.489593,ITEOO-233,-42.59360396
6,73.74506633,ITEOO-234,-46.05987522
4,65.93906843,ITEOO-235,-48.47220289
0,64.16458024,ITEOO-236,-53.68546785
8,281.1479201,ITEOO-237,-174.7637746
2,65.04553404,ITEOO-238,-51.01291723
0,126.1469985,ITEOO-239,-107.42829
8,133.2207675,ITEOO-240,-87.36614249
6,131.3622681,ITEOO-241,-91.96384593
1,126.8860237,ITEOO-242,-104.6625094
3,128.5937383,ITEOO-243,-99.36607673
4,72.59102278,ITEOO-244,-48.53325315
2,268.2812706,ITEOO-245,-204.216766
3,72.01695417,ITEOO-246,-49.8191416
0,264.476658,ITEOO-247,-215.143984
2,71.43871276,ITEOO-248,-51.13774996
9,283.2936763,ITEOO-249,-170.3111493
4,129.5061502,ITEOO-250,-96.8289877
5,73.17241376,ITEOO-251,-47.28030297
5,130.4257388,ITEOO-252,-94.36177854
5,274.7166313,ITEOO-253,-188.8931743
1,266.1981598,ITEOO-254,-209.6045766
9,134.1408094,ITEOO-255,-85.16423376
4,272.617305,ITEOO-256,-193.8648008
3,65.50048432,ITEOO-257,-49.72628706
9,68.18742285,ITEOO-258,-42.68449384
7,278.897386,ITEOO-259,-179.3443342
7,74.32767109,ITEOO-260,-44.87214645
3,270.3940149,ITEOO-261,-198.9725715
8,74.9160219,ITEOO-262,-43.71685591
1,64.60313321,ITEOO-263,-52.33274112
7,67.26236809,ITEOO-264,-44.90429037
8,67.73412633,ITEOO-265,-43.77876778
2,128.9964649,ITEOO-266,-98.67387688
0,265.7426231,ITEOO-267,-211.6850302
6,134.5146066,ITEOO-268,-85.81024096
5,74.86400204,ITEOO-269,-44.40992026
3,73.11634577,ITEOO-270,-47.71081193
5,67.67477552,ITEOO-271,-44.54000213
1,71.52542307,ITEOO-272,-51.19394835
1,127.7589405,ITEOO-273,-102.1388163
4,66.98691093,ITEOO-274,-46.10907077
2,271.3778146,ITEOO-275,-197.5340449
3,130.3050444,ITEOO-276,-95.31084038
6,68.33218674,ITEOO-277,-43.01654189
6,284.2992011,ITEOO-278,-171.496612
5,280.9044772,ITEOO-279,-177.7243149
2,72.30376769,ITEOO-280,-49.42982708
6,75.76148772,ITEOO-281,-42.82933077
4,131.6977564,ITEOO-282,-92.04706253
0,70.79624222,ITEOO-283,-53.00215544
4,277.7482737,ITEOO-284,-184.1395615
3,274.5422829,ITEOO-285,-190.7433879
0,64.4658312,ITEOO-286,-52.84272583
5,133.0725822,ITEOO-287,-88.88128015
0,126.659509,ITEOO-288,-105.707928
4,73.978859,ITEOO-289,-46.03716713
2,65.69861109,ITEOO-290,-49.38573616
1,268.3877085,ITEOO-291,-204.5137098
3,66.33920194,ITEOO-292,-47.72468633
1,65.06971046,ITEOO-293,-51.09207605
3.2,66.59824646,ITEOO-294,-47.39374035
0,106.9476157,ITEOO-295,-102.8720327
3,73.22988398,ITEOO-296,-47.70998701
1,119.3065283,ITEOO-297,-99.7685629
6,68.49657475,ITEOO-298,-43.01819762
9,78.63420428,ITEOO-299,-38.3764262
5,67.84299358,ITEOO-300,-44.53925927
2,271.8781946,ITEOO-301,-197.5158471
2.6,72.89986319,ITEOO-302,-48.39103814
5,116.8837158,ITEOO-303,-85.55947433
0,118.1375599,ITEOO-304,-103.1436189
5,74.98693446,ITEOO-305,-44.41439943
1,268.9852051,ITEOO-306,-204.4831823
3,29.2851984,ITEOO-307,-23.18155308
4,278.0859106,ITEOO-308,-184.1434389
4,29.62704369,ITEOO-309,-22.3955312
4,122.9059076,ITEOO-310,-90.17440711
5,29.97724603,ITEOO-311,-21.62869385
3,121.6961949,ITEOO-312,-93.28512507
9,138.8990128,ITEOO-313,-77.16320901
6,284.6805445,ITEOO-314,-171.5189067
6,125.3157243,ITEOO-315,-84.21996526
2,110.7844546,ITEOO-316,-95.64363047
3,275.0900852,ITEOO-317,-190.7379856
8,137.5027956,ITEOO-318,-79.9599087
3.3,73.47752724,ITEOO-319,-47.20401078
3.1,73.31261072,ITEOO-320,-47.54088994
6,118.5517141,ITEOO-321,-82.40924052
