PseudoB,PseudoO,Functional,Software,Method,CID,MID,SID
PAW-Ru,PAW-O,PBE,VASP,E,ITEOO_409,3,3
PAW-Ru,PAW-O,PBE,VASP,E,ITEOO_410,3,6
PAW-Ru,PAW-O,PBE,VASP,E,ITEOO_411,3,3
PAW-Ru,PAW-O,PBE,VASP,E,ITEOO_412,3,3
PAW-Ru,PAW-O,PBE,VASP,E,ITEOO_413,3,1
PAW-Ru,PAW-O,PBE,VASP,E,ITEOO_414,3,1
PAW-Ru,PAW-O,PBE,VASP,E,ITEOO_415,3,1
PAW-Ru,PAW-O,PBE,VASP,E,ITEOO_416,3,6
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_417,4,1
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_418,4,3
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_419,4,3
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_420,4,3
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_421,4,3
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_422,4,1
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_423,4,6
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_424,4,1
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_425,4,3
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_426,4,6
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_427,4,1
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_428,4,6
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_429,4,6
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_430,4,3
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_431,4,6
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_432,4,3
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_433,4,6
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_434,4,6
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_435,4,1
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_436,4,1
PAW-Ir,PAW-O,PBE,VASP,E,ITEOO_437,4,1
PAW-Ti,PAW-O,PBE,VASP,E,ITEOO_438,1,8
PAW-Ti,PAW-O,PBE,VASP,E,ITEOO_439,1,8
PAW-Ti,PAW-O,PBE,VASP,E,ITEOO_440,1,8
PAW-Ti,PAW-O,PBE,VASP,E,ITEOO_441,1,8
PAW-Ti,PAW-O,PBE,VASP,E,ITEOO_442,1,8
PAW-Ti,PAW-O,PBE,VASP,E,ITEOO_443,1,8
PAW-Ti,PAW-O,PBE,VASP,E,ITEOO_444,1,8
US-Ti-pv-sv,US-O,PBE,QE,E,ITEOO_445,1,1
US-Ti-pv-sv,US-O,PBE,QE,E,ITEOO_446,1,1
US-Ti-pv-sv,US-O,PBE,QE,E,ITEOO_447,1,1
US-Ti-pv-sv,US-O,PBE,QE,E,ITEOO_448,1,1
US-Ti-pv-sv,US-O,PBE,QE,E,ITEOO_449,1,1
US-Ti-pv-sv,US-O,PBE,QE,E,ITEOO_450,1,1
US-Ti-pv-sv,US-O,PBE,QE,E,ITEOO_451,1,1
US-Ti-pv-sv,US-O,PBE,QE,E,ITEOO_452,1,3
US-Ti-pv-sv,US-O,PBE,QE,E,ITEOO_453,1,3
US-Ti-pv-sv,US-O,PBE,QE,E,ITEOO_454,1,3
US-Ti-pv-sv,US-O,PBE,QE,E,ITEOO_455,1,3
US-Ti-pv-sv,US-O,PBE,QE,E,ITEOO_456,1,3
US-Ti-pv-sv,US-O,PBE,QE,E,ITEOO_457,1,3
US-Ti-pv-sv,US-O,PBE,QE,E,ITEOO_458,1,3
PAW-Ti,PAW-O,PS,VASP,LR,ITEOO_459,1,1
PAW-Ti,PAW-O,PS,VASP,LR,ITEOO_460,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,LR,ITEOO_461,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,LR,ITEOO_462,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,LR,ITEOO_463,1,1
PAW-Ti-sv,PAW-O,PBE,VASP,LR,ITEOO_464,1,2
PAW-Ti,PAW-O,PBE,VASP,LR,ITEOO_465,1,1
PAW-Ti,PAW-O,PBE,VASP,LR,ITEOO_466,1,2
PAW-Ti,PAW-O,PBE,VASP,LR,ITEOO_467,1,3
PAW-Ti,PAW-O,PBE,VASP,LR,ITEOO_468,1,4
PAW-Ti,PAW-O,PBE,VASP,LR,ITEOO_469,1,1
PAW-Ti,PAW-O,PBE,VASP,LR,ITEOO_470,1,1
PAW-Ti,PAW-O,PBE,VASP,LR,ITEOO_471,1,1
PAW-Ti,PAW-O,PBE,VASP,LR,ITEOO_472,1,1
PAW-Ti,PAW-O,PBE,VASP,LR,ITEOO_473,1,1
PAW-Ti,PAW-O,PBE,VASP,LR,ITEOO_474,1,1
PAW-Ti,PAW-O,PBE,VASP,PDOS,ITEOO_475,1,1
PAW-Ti,PAW-O,PBE,VASP,PDOS,ITEOO_476,1,1
PAW-Ti,PAW-O,PBE,VASP,PDOS,ITEOO_477,1,2
PAW-Ti,PAW-O,PBE,VASP,PDOS,ITEOO_478,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,PDOS,ITEOO_479,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,PDOS,ITEOO_480,1,1
PAW-Ti-pv,PAW-O,PBE,VASP,PDOS,ITEOO_481,1,2
PAW-Ti-pv,PAW-O,PBE,VASP,PDOS,ITEOO_482,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,PDOS,ITEOO_483,1,1
PAW-Ti-sv,PAW-O,PBE,VASP,PDOS,ITEOO_484,1,1
PAW-Ti-sv,PAW-O,PBE,VASP,PDOS,ITEOO_485,1,2
PAW-Ti-sv,PAW-O,PBE,VASP,PDOS,ITEOO_486,1,2
PAW-Ti,PAW-O,PBE0,VASP,E,ITEOO_488,1,2
PAW-Ti,PAW-O,PBE0,VASP,E,ITEOO_489,1,2
PAW-Ti,PAW-O,PBE0,VASP,E,ITEOO_490,1,1
PAW-Ti,PAW-O,PBE0,VASP,E,ITEOO_491,1,1
PAW-Ti,PAW-O,PBE0,VASP,E,ITEOO_492,1,1
PAW-Ti,PAW-O,PBE0,VASP,E,ITEOO_493,1,1
PAW-Ti,PAW-O,PBE0,VASP,E,ITEOO_494,1,2
PAW-Ti,PAW-O,PBE0,VASP,E,ITEOO_495,1,2
PAW-Ti,PAW-O,PBE0,VASP,E,ITEOO_496,1,1
PAW-Ti,PAW-O,PBE0,VASP,E,ITEOO_497,1,1
PAW-Ti,PAW-O,PBE0,VASP,E,ITEOO_498,1,2
PAW-Ti,PAW-O,PBE0,VASP,E,ITEOO_499,1,2
PAW-Ti,PAW-O,PBE0,VASP,E,ITEOO_500,1,2
PAW-Ti,PAW-O,PBE0,VASP,E,ITEOO_501,1,1
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_502,1,3
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_503,1,2
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_504,1,2
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_505,1,1
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_506,1,1
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_507,1,2
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_508,1,1
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_509,1,1
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_510,1,2
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_511,1,1
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_512,1,1
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_513,1,2
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_514,1,2
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_515,1,1
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_516,1,2
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_517,1,1
PAW-Ti,PAW-O,HSE06,VASP,E,ITEOO_518,1,1
PAW-Ti,PAW-O,PBE,VASP,LR,ITEOO_519,1,1
PAW-Ti,PAW-O,PBE,VASP,LR,ITEOO_520,1,1
PAW-Ti,PAW-O,PBE,VASP,LR,ITEOO_521,1,1
